id,x,y,ES,EN,EU
0,0,0, , ,
1,-1,-1, , ,
2,-2,1050,Se han borrado {} elemento(s),{} elements were deleted,{} elementu ezabatu dira
3,1700,10,SIMULANDO ({} ms),SIMULATING ({} ms),SIMULATZEN ({} ms)
4,1640,10,SIMULANDO (instantáneo),SIMULATING (instantaneous),SIMULATZEN (berehala)
5,0,1050,M: mostrar controles,M: show controls,M: erakutsi kontrolak
6,500,-2,Escribe el nombre del archivo: ,Type the name of the file:,Idatzi fitxategiaren izena
7,-2,1050,No se ha podido cargar,Couldn't be loaded,Ezin izan da kargatu
8,-2,1050,Se ha cargado,Loaded,Kargatuta
9,-2,1050,No se puede cargar si se ha creado algo,Nothing can be loaded if something got created,Ezin da ezer kargatu zerbait sortu izan bada
10,-2,1050,Se ha guardado,Saved,Gorde izan da
11,-2,1050,No se ha podido guardar,Couldn't be saved,Ezin izan da gorde
12,10,40,Cuadrícula activa. Tamaño: {},Grid active. Size: {},Lauki-sarea piztuta. Tamaina: {}
13,200,500,Creación\t1: puerta AND\t2: puerta OR\t3: puerta XOR\t4: interruptor\t5: botón\t6: salida\t7: temporizador\t8: condensador\n\n,Creation\t1: AND gate\t2: OR gate\t3: XOR gate\t4: switch\t5: button\t6: output\t7: timer\t8: condensator\n\n,Sortu\t1: AND atea\t2: OR atea\t3: XOR atea\t4: interruptorea\t5: botoia\t6: irteera\t7: temporizadorea\t8: kondentsadorea\n\n
14,200,-1,Simulación\tEntrar: simular un paso\tQ: empezar/parar simulación\tW: acelerar simulación\tE: decelerar simulación,Simulation\tEnter: simulate one step\tQ: start/stop simulation\tW: accelerate simulation\tE: decelerate simulation,Simulazioa\tSartu: simulatu pausu bat\tQ: simulazioa hasi/gelditu\tW: bizkortu simulazioa\tE: moteldu simulaizoa
15,600,500,Modificadores\tEspacio: crear conexión\tRetroceso: borrar selección/elemento o modo borrar\n,Modifiers\tSpace: create connection\tBackspace: delete element/selection or deletion mode\n,Aldatzaileak\tEspazio: sortu konexioa\tAtzera: ezabatu elementua/hautapena edo ezabapen modua\n
16,600,-1,Ratón\tIzquierda: interactuar\tIzquierda (arrastrar): seleccionar área\tMedio: crear conexión\tDerecha: mover\tArriba: temporizador +\tAbajo: temporizador -\n,Mouse\tLeft: interact\tLeft (drag): select area\tCenter: create connection\tRight: move\tUp: timer +\tDown: timer -\n,Sagua\tEzkerra: interaktuatu\tEzkerra (arrastratu): eremua hautatu\tErdia: sortu konexioa\tEskuma: mugitu\tGora: temporizadorea +\tBehera: temporizadorea -\n
17,600,-1,Ratón (borrando)\tIzquierda: borrar elemento\tMedio: borrar conexión\tArriba: temporizador +\tAbajo: temporizador -,Mouse (deleting)\tLeft: remove element\tCenter: remove connection\tUp: timer +\tDown: timer -,Sagua (ezabatzen)\tEzkerra: ezabatu elementua\tErdia: ezabatu konexioa\tGora: temporizadorea +\tBehera: temporizadorea -
18,1300,500,Cuadrícula\tT: alternar\tY: aumentar\tU: disminuir\n\n,Grid\tT: toggle\tY: increase\tU: decrease\n\n,Sarea\tT: piztu/itzali\tY: handitu\tU: txikitu\n\n
19,1300,-1,Otros\tB: borrar elementos desconectados\tZ: centrar cámara\tD: duplicar selección\tR: rotar elemento\tG: guardar\tC: cargar\tEscape: cerrar\tP: cambiar idioma\tA: alternar conexiones ocultas\tM: ocultar controles,Others\tB: remove disconnected elements\tZ: center camera\tD: duplicate selection\tR: rotate element\tG: save\tC: load\tEscape: close\tP: change language\tA: toggle hidden connections\tM: hide controls,Bestelakoak\tB: ezabatu deskonektatutako elementuak\tZ: kamera zentratu\tD: hautapena duplikatu\tR: elementua biratu\tG: gorde\tC: kargatu\tEskape: itxi\tP: aldatu hizkuntza\tA: konexio izkutuak erakutsi/izkutu\tM: ezkutatu kontrolak
20,-2,-2,Cargando...,Loading...,Kargatzen...
21,-2,1050,Idioma cambiado,Language changed,Hizkuntza aldatuta
22,10,80,Conexiones ocultas,Hidden conenctions,Konexio izkutuak
23,-3,835,Elementos: {},Elements: {},Elementuak: {}
